identifiers_isbn_10,identifiers_isbn_13,identifiers_openlibrary,links,url,number_of_pages,pagination,ebooks,subject_people,weight,subject_places,subject_times,key,cover_small,cover_medium,cover_large,by_statement,title,publish_date,table_of_contents,publish_places,subjects,authors,classifications_lc_classifications,excerpts,notes,subtitle,publishers,classifications,identifiers_librarything,identifiers_goodreads,identifiers_lccn,identifiers_oclc,cover,classifications_dewey_decimal_class,identifiers_amazon,identifiers_wikidata,identifiers_overdrive,identifiers_alibris_id,identifiers_google,identifiers_musicbrainz
0061153516,9780061153518,OL7288884M,,https://openlibrary.org/books/OL7288884M/Essential_Vonnegut_Interviews_CD_(Caedmon_Essentials),,,,,,,,/books/OL7288884M,https://covers.openlibrary.org/b/id/46815-S.jpg,https://covers.openlibrary.org/b/id/46815-M.jpg,https://covers.openlibrary.org/b/id/46815-L.jpg,,Essential Vonnegut Interviews CD (Caedmon Essentials),"November 28, 2006",,,,Kurt Vonnegut,,,,,Caedmon,,3654174,9596,,76961459,,,,,,,,
0062314343,9780062314345,OL32318422M,,https://openlibrary.org/books/OL32318422M/Breakfast_of_Champions,,,,,,,,/books/OL32318422M,https://covers.openlibrary.org/b/id/10942057-S.jpg,https://covers.openlibrary.org/b/id/10942057-M.jpg,https://covers.openlibrary.org/b/id/10942057-L.jpg,,Breakfast of Champions,"Oct 15, 2013",,,,Kurt Vonnegut,,,,or Goodbye Blue Monday,HarperAudio,,,,,,,,,,,,,
0062314351,9780062314352,OL32318424M,"{'title': 'NLA Trove work', 'url': 'http://trove.nla.gov.au/work/10590568'}",https://openlibrary.org/books/OL32318424M/Cat's_Cradle_Low_Price_CD,,,,,,,,/books/OL32318424M,https://covers.openlibrary.org/b/id/10942059-S.jpg,https://covers.openlibrary.org/b/id/10942059-M.jpg,https://covers.openlibrary.org/b/id/10942059-L.jpg,,Cat's Cradle Low Price CD,"Oct 15, 2013",,,"End of the world; Fiction; American Fantasy fiction; Classic Literature; Humor (Fiction); Science Fiction; Large type books; American fiction (fictional works by one author); Fiction, humorous; Fiction, science fiction, general; Fiction, humorous, general; American fiction; Translations into Spanish; Spanish imprints; Spanish fiction; Fin du monde; Romans, nouvelles; Satire; Fictional works [publication type]; End of the world--fiction; Ps3572.o5 c3 2010; 813 v947c 2010; Labor supply; Physicists; Discoveries in science; Physiciens; Découvertes scientifiques; Dwarfs; Dwarfs (Persons)",Kurt Vonnegut; Nickolay Popov,,"{'text': 'Call me Jonah.', 'comment': ''}",,,HarperAudio,,,,,,,,,,,,,
006231436X,9780062314369,OL27568259M,,https://openlibrary.org/books/OL27568259M/Welcome_to_the_Monkey_House_Low_Price_CD,,,,,,,,/books/OL27568259M,https://covers.openlibrary.org/b/id/9023314-S.jpg,https://covers.openlibrary.org/b/id/9023314-M.jpg,https://covers.openlibrary.org/b/id/9023314-L.jpg,,Welcome to the Monkey House Low Price CD,"Oct 15, 2013",,,,Kurt Vonnegut,,,,,HarperAudio,,,,,,,,006231436X,,,,,
0091424003,,OL16405103M,,https://openlibrary.org/books/OL16405103M/Sun_moon_star,64.0,64p. :,,Jesus Christ; Ivan Chermayeff,,,,/books/OL16405103M,,,,"Kurt Vonnegut, Ivan Chermayeff.",Sun moon star,1980,,London,"Jesus Christ in fiction; Juvenile fiction; Fiction; Nativity; Juvenile literature; Children's fiction; Jesus christ, fiction; Perception; Nativity of Jesus Christ",Kurt Vonnegut,,,,,Hutchinson,,815701,1189729,,11046607,,232.9; 760/21/.092/4,,,,,,
0099267543,,OL19105122M,,https://openlibrary.org/books/OL19105122M/Timequake,219.0,"xiv, 219p. ;",,,,,,/books/OL19105122M,https://covers.openlibrary.org/b/id/8728103-S.jpg,https://covers.openlibrary.org/b/id/8728103-M.jpg,https://covers.openlibrary.org/b/id/8728103-L.jpg,Kurt Vonnegut.,Timequake,1998,,London,"Nineteen nineties; Literature; Translations into Russian; Space and time; Fiction; Space and time in fiction; Time reversal; American Fantasy fiction; Authors; Millennium; Long Now Manual for Civilization; Time; American fiction (fictional works by one author); Fiction, science fiction, general; Large type books; Children's fiction; Science fiction",Kurt Vonnegut,PS3572.O5T56 1998,,"Originally published: London : Jonathan Cape, 1997.",,Vintage,,816487,9594,,,,813.54,,,,,,
0099268795,9780099268796,OL32318425M,,https://openlibrary.org/books/OL32318425M/Slaughterhouse_Five_Or_The_Children's_Crusade,,,,Billy Pilgrim,,Dresden; Germany,1939-1945,/books/OL32318425M,https://covers.openlibrary.org/b/id/10942061-S.jpg,https://covers.openlibrary.org/b/id/10942061-M.jpg,https://covers.openlibrary.org/b/id/10942061-L.jpg,,"Slaughterhouse Five Or, The Children's Crusade","Oct 05, 1997",,,"American science fiction; bombing of Dresden; Open Library staff picks; military fiction; war stories; World War II; World War, 1939-1945; literature and the war; war; free will and determinism; literary fiction; Fiction; Animals; Boats and boating; Juvenile fiction; Accelerated Reader; Domestic animals; American fiction (fictional works by one author); Fiction, general; Fiction, war & military; World war, 1939-1945, fiction; Classic Literature; Drama; Vonnegut, kurt, 1922-2007; American literature, history and criticism; Destruction and pillage; World War (1939-1945) fast (OCoLC)fst01180924; Roman américain; Literature; American literature; Literatură americană; Roman; Time travel; Voyages dans le temps; Romans, nouvelles; Science fiction",Kurt Vonnegut,,,"Source title: Slaughterhouse Five Or, The Children's Crusade: Reading Guide",Reading Guide,Arrow Books Ltd,,,,,,,,,,,,,
0099275368,,OL18439433M,,https://openlibrary.org/books/OL18439433M/Timequake,217.0,217p. ;,,,,,,/books/OL18439433M,,,,Kurt Vonnegut.,Timequake,1998,,London,"Nineteen nineties; Literature; Translations into Russian; Space and time; Fiction; Space and time in fiction; Time reversal; American Fantasy fiction; Authors; Millennium; Long Now Manual for Civilization; Time; American fiction (fictional works by one author); Fiction, science fiction, general; Large type books; Children's fiction; Science fiction",Kurt Vonnegut,,,,,Vintage,,816487,848479,,,,,,,,,,
,9780099277194,OL40335228M,,https://openlibrary.org/books/OL40335228M/Timequake,,288,,,,,,/books/OL40335228M,,,,,Timequake,1998,,,"Nineteen nineties; Literature; Translations into Russian; Space and time; Fiction; Space and time in fiction; Time reversal; American Fantasy fiction; Authors; Millennium; Long Now Manual for Civilization; Time; American fiction (fictional works by one author); Fiction, science fiction, general; Large type books; Children's fiction; Science fiction",Kurt Vonnegut,,,,,Penguin Random House,,,,,,,,,,,,,
0099282968,9780099282969,OL7316807M,,https://openlibrary.org/books/OL7316807M/Bagombo_Snuff_Box,224.0,,,Kurt Vonnegut,,United States,20th century,/books/OL7316807M,https://covers.openlibrary.org/b/id/71760-S.jpg,https://covers.openlibrary.org/b/id/71760-M.jpg,https://covers.openlibrary.org/b/id/71760-L.jpg,,Bagombo Snuff Box,"November 2, 2000",,,"Social life and customs; Fiction; United states, social life and customs, fiction; American fiction (fictional works by one author); Fiction, short stories (single author)",Kurt Vonnegut,,"{'text': 'At noon, Wednesday, July 26th, windowpanes in the small mountain towns of Sevier County, Tennessee, were rattled by the shock and faint thunder of a distant explosion rolling down the northwest slopes of the Great Smokies.', 'comment': '', 'first_sentence': True}",,,Vintage,,816481,4984,,,,,,Q113500889,,,,
0099287692,9780099287698,OL7316979M,,https://openlibrary.org/books/OL7316979M/Bagombo_Snuff_Box_a_Fmt_(Export),,,,,,,,/books/OL7316979M,,,,,Bagombo Snuff Box a Fmt (Export),"February 3, 2000",,,"American fiction (fictional works by one author); United states, social life and customs, fiction",Kurt Vonnegut,PS3572.O5,"{'text': 'At noon, Wednesday, July 26th, windowpanes in the small mountain towns of Sevier County, Tennessee, were rattled by the shock and faint thunder of a distant explosion rolling down the northwest slopes of the Great Smokies.', 'comment': '', 'first_sentence': True}",,,Vintage,,816481,839892,,,,,,,,,,
0099387816,9780099387817,OL7317259M,,https://openlibrary.org/books/OL7317259M/Vonnegut_Omnibus,672.0,,,,,,,/books/OL7317259M,https://covers.openlibrary.org/b/id/72721-S.jpg,https://covers.openlibrary.org/b/id/72721-M.jpg,https://covers.openlibrary.org/b/id/72721-L.jpg,,Vonnegut Omnibus,"July 21, 1994",,,"Authors, biography; Vonnegut, kurt, 1922-2007; American fiction (fictional works by one author); Fiction, short stories (single author)",Kurt Vonnegut,,,,,Vintage,,831432,9607,,,,,,,,,,
0099458438,9780099458432,OL30542445M,,https://openlibrary.org/books/OL30542445M/Slaughterhouse_5,176.0,,,Billy Pilgrim,,Dresden; Germany,1939-1945,/books/OL30542445M,https://covers.openlibrary.org/b/id/10468148-S.jpg,https://covers.openlibrary.org/b/id/10468148-M.jpg,https://covers.openlibrary.org/b/id/10468148-L.jpg,,Slaughterhouse 5,"Oct 05, 2003",,,"American science fiction; bombing of Dresden; Open Library staff picks; military fiction; war stories; World War II; World War, 1939-1945; literature and the war; war; free will and determinism; literary fiction; Fiction; Animals; Boats and boating; Juvenile fiction; Accelerated Reader; Domestic animals; American fiction (fictional works by one author); Fiction, general; Fiction, war & military; World war, 1939-1945, fiction; Classic Literature; Drama; Vonnegut, kurt, 1922-2007; American literature, history and criticism; Destruction and pillage; World War (1939-1945) fast (OCoLC)fst01180924; Roman américain; Literature; American literature; Literatură americană; Roman; Time travel; Voyages dans le temps; Romans, nouvelles; Science fiction",Kurt Vonnegut,PS3572.O5S6 2003,,Source title: Slaughterhouse 5 (Vintage Crucial Classics),,Vintage,,,,,,,,,,,,,
,9780099496724,OL36700290M,,https://openlibrary.org/books/OL36700290M/Slaughterhouse-Five,,,,Billy Pilgrim,,Dresden; Germany,1939-1945,/books/OL36700290M,,,,,Slaughterhouse-Five,2005,,,"American science fiction; bombing of Dresden; Open Library staff picks; military fiction; war stories; World War II; World War, 1939-1945; literature and the war; war; free will and determinism; literary fiction; Fiction; Animals; Boats and boating; Juvenile fiction; Accelerated Reader; Domestic animals; American fiction (fictional works by one author); Fiction, general; Fiction, war & military; World war, 1939-1945, fiction; Classic Literature; Drama; Vonnegut, kurt, 1922-2007; American literature, history and criticism; Destruction and pillage; World War (1939-1945) fast (OCoLC)fst01180924; Roman américain; Literature; American literature; Literatură americană; Roman; Time travel; Voyages dans le temps; Romans, nouvelles; Science fiction",Kurt Vonnegut,,,,A Duty-Dance with Death,Penguin Random House,,,,,,,,,,,,,
,9780099524083,OL28450198M,,https://openlibrary.org/books/OL28450198M/Armageddon_in_Retrospect,256.0,,,,,,,/books/OL28450198M,,,,,Armageddon in Retrospect,2009,,,"Social life and customs; Literature; Miscellanea; Violence; Peace; Fiction; Nonfiction; World War, 1939-1945; Essays; War; War stories; American fiction (fictional works by one author); Fiction, short stories (single author); Essays (single author)",Kurt Vonnegut,PS3572.O5,,,,Penguin Random House,,,,,,,,,,,,,
,9780099529064,OL28469317M,,https://openlibrary.org/books/OL28469317M/While_Mortals_Sleep,272.0,,,,,,,/books/OL28469317M,,,,,While Mortals Sleep,2011,,,"Fiction, short stories (single author); American fiction (fictional works by one author)",Kurt Vonnegut,PS3572.O5,,,,Penguin Random House,,,,,,,,,,,,,
0099548852,9780099548850,OL27329500M,,https://openlibrary.org/books/OL27329500M/Look_At_the_Birdie,272.0,,,,,,,/books/OL27329500M,https://covers.openlibrary.org/b/id/8793844-S.jpg,https://covers.openlibrary.org/b/id/8793844-M.jpg,https://covers.openlibrary.org/b/id/8793844-L.jpg,,Look At the Birdie,"Sep 16, 2010",,,"American fiction (fictional works by one author); Fiction, short stories (single author)",Kurt Vonnegut,PS3572.O5,,,,Vintage,,,,,,,,0099548852,,,,,
0099582694,9780099582694,OL28210005M,,https://openlibrary.org/books/OL28210005M/Bluebeard,,,,,,,,/books/OL28210005M,https://covers.openlibrary.org/b/id/10144388-S.jpg,https://covers.openlibrary.org/b/id/10144388-M.jpg,https://covers.openlibrary.org/b/id/10144388-L.jpg,,Bluebeard,"Jun 07, 2012",,,,Kurt Vonnegut,,,,,Vintage Books,,,,,,,,,,,,,
0099582724,9780099582724,OL32318428M,,https://openlibrary.org/books/OL32318428M/Deadeye_Dick,,,,,,,,/books/OL32318428M,https://covers.openlibrary.org/b/id/10942064-S.jpg,https://covers.openlibrary.org/b/id/10942064-M.jpg,https://covers.openlibrary.org/b/id/10942064-L.jpg,,Deadeye Dick,"May 05, 2012",,,American literature; American fiction (fictional works by one author),Kurt Vonnegut,,,,,Vintage Books,,,,,,,,,,,,,
0099582732,9780099582731,OL32318430M,,https://openlibrary.org/books/OL32318430M/Galapagos,,,,,,Galapagos Islands,,/books/OL32318430M,https://covers.openlibrary.org/b/id/10942066-S.jpg,https://covers.openlibrary.org/b/id/10942066-M.jpg,https://covers.openlibrary.org/b/id/10942066-L.jpg,,Galapagos,"May 05, 2012",,,"American Science fiction; Fiction; Ghost stories; Humorous stories; Satire; Science fiction; American fiction (fictional works by one author); Fiction, historical, general; Galapagos Islands in fiction; Islands; Ghosts; Satrical fiction",Kurt Vonnegut; Kurt Vonnegut; Chaim Tadmon,,,,,Vintage Books,,,,,,,,,,,,,
0099582937,9780099582939,OL32318431M,,https://openlibrary.org/books/OL32318431M/Kurt_Vonnegut,,,,,,,,/books/OL32318431M,https://covers.openlibrary.org/b/id/10942067-S.jpg,https://covers.openlibrary.org/b/id/10942067-M.jpg,https://covers.openlibrary.org/b/id/10942067-L.jpg,,Kurt Vonnegut,"May 05, 2013",,,"Vonnegut, kurt, 1922-2007; Authors, correspondence",Dan Wakefield,PS3572.O5,,Source title: Kurt Vonnegut: Letters,Letters,Vintage Classics,,,,,,,,,,,,,
,9780099582946,OL28513766M,,https://openlibrary.org/books/OL28513766M/Kurt_Vonnegut,464.0,,"{'preview_url': 'https://archive.org/details/kurtvonnegutlett0000vonn_t2b8', 'availability': 'restricted', 'formats': {}}",,,,,/books/OL28513766M,https://covers.openlibrary.org/b/id/12659385-S.jpg,https://covers.openlibrary.org/b/id/12659385-M.jpg,https://covers.openlibrary.org/b/id/12659385-L.jpg,,Kurt Vonnegut,2014,,,"Vonnegut, kurt, 1922-2007; Correspondence; Studies; American Authors",Kurt Vonnegut,PS3572.O5,,,Letters,Penguin Random House,,,,,,,,,,,,,
